rearDb_name,mbie_maps_name
Auckland,Auckland Region
Bay of Plenty,Bay of Plenty Region
Canterbury,Canterbury Region
Gisborne,Gisborne Region
Hawke's Bay,Hawke's Bay Region
Manawatu-Wanganui,Manawatu-Wanganui Region
Marlborough,Marlborough Region
Nelson,Nelson Region
Northland,Northland Region
Otago,Otago Region
Southland,Southland Region
Taranaki,Taranaki Region
Tasman,Tasman Region
Waikato,Waikato Region
Wellington,Wellington Region
West Coast,West Coast Region
